,Unnamed: 0,UNIT,DATEn,TIMEn,DESCn,ENTRIESn_hourly,EXITSn_hourly,Hour
0,0,R022,2011-05-01,0:00:00,REGULAR,0,0,0
1,1,R022,2011-05-01,4:00:00,REGULAR,562,173,4
2,2,R022,2011-05-01,8:00:00,REGULAR,160,194,8
3,3,R022,2011-05-01,12:00:00,REGULAR,820,1025,12
4,4,R022,2011-05-01,16:00:00,REGULAR,2385,1954,16
5,5,R022,2011-05-01,20:00:00,REGULAR,3631,2010,20
6,6,R022,2011-05-02,0:00:00,REGULAR,1788,733,0
7,7,R022,2011-05-02,4:00:00,REGULAR,246,70,4
8,8,R022,2011-05-02,8:00:00,REGULAR,236,767,8
9,9,R022,2011-05-02,12:00:00,REGULAR,1611,3681,12
10,10,R022,2011-05-02,16:00:00,REGULAR,3675,2337,16
11,11,R022,2011-05-02,20:00:00,REGULAR,7598,2500,20
12,12,R022,2011-05-03,0:00:00,REGULAR,3395,717,0
13,13,R022,2011-05-03,4:00:00,REGULAR,309,52,4
14,14,R022,2011-05-03,8:00:00,REGULAR,250,779,8
15,15,R022,2011-05-03,12:00:00,REGULAR,138,1192,12
16,16,R022,2011-05-03,16:00:00,REGULAR,3919,3471,16
17,17,R022,2011-05-03,20:00:00,REGULAR,9651,4037,20
18,18,R022,2011-05-04,0:00:00,REGULAR,3687,789,0
19,19,R022,2011-05-04,4:00:00,REGULAR,285,66,4
20,20,R022,2011-05-04,8:00:00,REGULAR,266,738,8
21,21,R022,2011-05-04,12:00:00,REGULAR,1657,3411,12
22,22,R022,2011-05-04,16:00:00,REGULAR,3651,2943,16
23,23,R022,2011-05-04,20:00:00,REGULAR,7877,2706,20
24,24,R022,2011-05-05,0:00:00,REGULAR,3514,766,0
25,25,R022,2011-05-05,4:00:00,REGULAR,145,49,4
26,26,R022,2011-05-05,8:00:00,REGULAR,366,756,8
27,27,R022,2011-05-05,12:00:00,REGULAR,1913,3968,12
28,28,R022,2011-05-05,16:00:00,REGULAR,4269,2662,16
29,29,R022,2011-05-05,20:00:00,REGULAR,5846,2414,20
30,30,R022,2011-05-06,0:00:00,REGULAR,2912,796,0
31,31,R022,2011-05-06,4:00:00,REGULAR,4046,695,4
32,32,R022,2011-05-06,8:00:00,REGULAR,246,633,8
33,33,R022,2011-05-06,12:00:00,REGULAR,1615,3653,12
34,34,R022,2011-05-06,16:00:00,REGULAR,4360,2667,16
35,35,R022,2011-05-06,20:00:00,REGULAR,8221,2738,20
36,36,R023,2011-05-01,0:00:00,REGULAR,0,0,0
37,37,R023,2011-05-01,4:00:00,REGULAR,1094,408,4
38,38,R023,2011-05-01,8:00:00,REGULAR,445,654,8
39,39,R023,2011-05-01,12:00:00,REGULAR,1580,3013,12
40,40,R023,2011-05-01,16:00:00,REGULAR,2457,3270,16
41,41,R023,2011-05-01,20:00:00,REGULAR,3743,2838,20
42,42,R023,2011-05-02,0:00:00,REGULAR,2620,1191,0
43,43,R023,2011-05-02,4:00:00,REGULAR,400,124,4
44,44,R023,2011-05-02,8:00:00,REGULAR,1748,2408,8
45,45,R023,2011-05-02,8:06:37,REGULAR,115,210,8
46,46,R023,2011-05-02,12:00:00,REGULAR,4885,9513,12
47,47,R023,2011-05-02,16:00:00,REGULAR,4190,4505,16
48,48,R023,2011-05-02,20:00:00,REGULAR,10874,6858,20
49,49,R023,2011-05-03,0:00:00,REGULAR,3767,1622,0
50,50,R023,2011-05-03,4:00:00,REGULAR,546,142,4
51,51,R023,2011-05-03,8:00:00,REGULAR,1073,1891,8
52,52,R023,2011-05-03,12:00:00,REGULAR,5931,10779,12
53,53,R023,2011-05-03,16:00:00,REGULAR,4449,4794,16
54,54,R023,2011-05-03,20:00:00,REGULAR,11217,7131,20
55,55,R023,2011-05-04,0:00:00,REGULAR,4322,1828,0
56,56,R023,2011-05-04,4:00:00,REGULAR,623,167,4
